ResponseId,CounterBalance,Domain,Nudge,Treatment,measure,value
R_1mk3kxaqoDm4Ipl,2,Organ Donation,Social Proof,Choice,acceptability,4
R_AvQ3MPJZr12vGXT,2,Organ Donation,Social Proof,Choice,acceptability,5
R_2WSAvpnd6rVQGSo,2,Organ Donation,Social Proof,Choice,acceptability,5
R_1pLEURoqlSWBT0S,2,Organ Donation,Social Proof,Choice,acceptability,6
R_paYQ8L2GbtXi1G1,2,Organ Donation,Social Proof,Choice,acceptability,4
R_1hQZpyg9SAgP7BN,2,Organ Donation,Social Proof,Choice,acceptability,5
R_33qlsjTBHS2WcpJ,2,Organ Donation,Social Proof,Choice,acceptability,4
R_296W2UHX4sDBs0V,2,Organ Donation,Social Proof,Choice,acceptability,5
R_1Iati7r4b74gclr,2,Organ Donation,Social Proof,Choice,acceptability,7
R_1nSXICZCQLOZzEz,2,Organ Donation,Social Proof,Choice,acceptability,5
R_3KUX6MMHsn4GmnR,2,Organ Donation,Social Proof,Choice,acceptability,6
R_rqj9JrdR0QcEoHD,2,Organ Donation,Social Proof,Choice,acceptability,1
R_2dhDQMTiqSnUrLC,2,Organ Donation,Social Proof,Choice,acceptability,7
R_33rnkmlaHYYwsk4,2,Organ Donation,Social Proof,Choice,acceptability,4
R_DcR59GUJLx4lLsR,2,Organ Donation,Social Proof,Choice,acceptability,5
R_zSu03ctocJsHkyt,2,Organ Donation,Social Proof,Choice,acceptability,6
R_1FxqB2P07rn0gwp,2,Organ Donation,Social Proof,Choice,acceptability,7
R_33pbtVyVtgquEwx,2,Organ Donation,Social Proof,Choice,acceptability,6
R_3nA6tzws31egabe,2,Organ Donation,Social Proof,Choice,acceptability,7
R_2TXLKZRia3vdeo7,2,Organ Donation,Social Proof,Choice,acceptability,6
R_22E5MebN5txdRLR,2,Organ Donation,Social Proof,Choice,acceptability,4
R_1lAXf78tfZPitte,2,Organ Donation,Social Proof,Choice,acceptability,5
R_2tmcucIdi6Ds04F,2,Organ Donation,Social Proof,Choice,acceptability,6
R_1hLx59rIXvwFU7G,2,Organ Donation,Social Proof,Choice,acceptability,6
R_28BXypbEKV9AluC,2,Organ Donation,Social Proof,Choice,acceptability,7
R_1TXBNZ1uAALDNmx,2,Organ Donation,Social Proof,Choice,acceptability,7
R_9ow5u3O4tCeUnuN,2,Organ Donation,Social Proof,Choice,acceptability,6
R_3J8EjQzrBpdUJO5,2,Organ Donation,Social Proof,Choice,acceptability,7
R_1ot2u7LDk1suWxt,2,Organ Donation,Social Proof,Choice,acceptability,6
R_3HSMIP1S5RmPnWp,2,Organ Donation,Social Proof,Choice,acceptability,7
R_2v0qd0MzebrGql7,2,Organ Donation,Social Proof,Choice,acceptability,7
R_BJKtBq75EXpTvcl,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_wMBGSJoFIzOYpMd,1,Retirement Savings,Social Proof,Effectiveness,acceptability,4
R_1ouJVYQ7yeQBUdn,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_3KvgGiF8tVodfdB,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_12ioa0l7BB5L2EM,1,Retirement Savings,Social Proof,Effectiveness,acceptability,4
R_1eWf1T9MGa1IQ3Z,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_5bfJv8fdsM0AnId,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_10vpEUuEmhVrMzi,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_1OjzU8VivtYP4zv,1,Retirement Savings,Social Proof,Effectiveness,acceptability,2
R_ZqJo1vz5IU5CLtf,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_1rknRDjnqKjW5wO,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_sNlxlscdTwKakOR,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_1IAieEHlQv0sKlF,1,Retirement Savings,Social Proof,Effectiveness,acceptability,4
R_3Jyr0zgSvbmyXN3,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_1LNZOvsR7YEgDBP,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_3LXBKpsgGsbtDyv,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_1mKp0rbOcWwvYrX,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_3lrU5tIkwomDzKh,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_25A83tYZhDcEdf5,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_szYTNnpma31YJih,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_qOQh7UNPoUnc0k9,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_2afSKZTm3QxLZEP,1,Retirement Savings,Social Proof,Effectiveness,acceptability,6
R_10OPLE8I6zrdtwI,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_vwTPVV6T7WbBkaJ,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_3OcvmohVN4WCAz5,1,Retirement Savings,Social Proof,Effectiveness,acceptability,4
R_3GwXmN2gGfOcFg5,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_1jIYHf46mvizKQy,1,Retirement Savings,Social Proof,Effectiveness,acceptability,5
R_2YfA0sWZihZwYba,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_3jfEe7QzO8opwvm,1,Retirement Savings,Social Proof,Effectiveness,acceptability,7
R_r0Ulwjm2O6KaZSp,5,Flu Shot,Social Proof,Loss Aversion,autonomy,1
R_331Q82a7NP6ZnSJ,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_z74ShAEAZwT7cIx,5,Flu Shot,Social Proof,Loss Aversion,autonomy,2
R_1NqRrPTK4NBB0CE,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_1QflQWDGKo8Gl4T,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_2dSb1Nbp2vMbaDQ,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_sgP0qp7fmALYkPT,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_2zp4Olpn08NG3se,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_2ASeqGjkUsOEYK9,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_3O2LLQuI7Hyc7Au,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_XB5If00YHEbCGzf,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_3gR8yFZMbnCWyAE,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_3k1A2aQwSvoaAcc,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_1FCUn1Mmop7uVAT,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_22rww56N9QNV2Gk,5,Flu Shot,Social Proof,Loss Aversion,autonomy,4
R_3qvu64ntOrlkTyK,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_3m3vehvBwE3y1hu,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_3KxflPAFCthwJo5,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_3De9rV5JdnvEoyU,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_6F3KoVWQUwKNnrP,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_2TSjykpn84GEVtz,5,Flu Shot,Social Proof,Loss Aversion,autonomy,5
R_1NeroelYUKjU8lb,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_3EhGT2xXtm4BWtc,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_1l0uutWgGsAOhgB,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_O0B2n5Mpk26fk41,5,Flu Shot,Social Proof,Loss Aversion,autonomy,6
R_1prswasmpDqFVi9,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_1CqGTozF82DpwoR,5,Flu Shot,Social Proof,Loss Aversion,autonomy,7
R_1LbbB7XHilhiBAE,5,Flu Shot,Social Proof,Loss Aversion,autonomy,1
R_pmDzeJUoWZccHmN,5,Flu Shot,Social Proof,Loss Aversion,autonomy,3
R_1jjnty7EJa9uCw1,4,Flood Insurance,Social Proof,Control,autonomy,3
R_vcwOtPhiSuhcQKd,4,Flood Insurance,Social Proof,Control,autonomy,6
R_3QWRNcOj7uJNxPy,4,Flood Insurance,Social Proof,Control,autonomy,6
R_Un1uXQDmG7vBQ9b,4,Flood Insurance,Social Proof,Control,autonomy,3
R_1JDtS4xCPDGyGTQ,4,Flood Insurance,Social Proof,Control,autonomy,7
R_2RQAPPqUYDxYDCr,4,Flood Insurance,Social Proof,Control,autonomy,6
R_1hFpNRWd0Zfgu6E,4,Flood Insurance,Social Proof,Control,autonomy,7
R_x6gZCLvxa78Wg5H,4,Flood Insurance,Social Proof,Control,autonomy,6
R_3KuZ8b46F2eCM7p,4,Flood Insurance,Social Proof,Control,autonomy,5
R_VOKieCQNkoNYudz,4,Flood Insurance,Social Proof,Control,autonomy,6
R_33g4PNIlrlvdlTa,4,Flood Insurance,Social Proof,Control,autonomy,6
R_1lmdfbCH1KC9A92,4,Flood Insurance,Social Proof,Control,autonomy,7
R_0GOyAlDVp19aNMJ,4,Flood Insurance,Social Proof,Control,autonomy,7
R_2TRELeAw1mzG6qR,4,Flood Insurance,Social Proof,Control,autonomy,6
R_xzsLctDt2xmjrqh,4,Flood Insurance,Social Proof,Control,autonomy,6
R_21FhZEWERWOQAdC,4,Flood Insurance,Social Proof,Control,autonomy,5
R_qJikmwNsHQyjFJv,4,Flood Insurance,Social Proof,Control,autonomy,4
R_XNDHMBpA1Vxu5O1,4,Flood Insurance,Social Proof,Control,autonomy,6
R_snzw6m4Rk7amPtf,4,Flood Insurance,Social Proof,Control,autonomy,6
R_3QPOQpHul1I7EJS,4,Flood Insurance,Social Proof,Control,autonomy,1
R_3ikgqC5NgxH6S5I,4,Flood Insurance,Social Proof,Control,autonomy,4
R_3iPYdOiGPkB8HIr,4,Flood Insurance,Social Proof,Control,autonomy,7
R_2E4xg7ZBAVbVdnc,4,Flood Insurance,Social Proof,Control,autonomy,6
R_3gMosbRvwy87WJL,4,Flood Insurance,Social Proof,Control,autonomy,5
R_2RPzaR4RVmBP96c,4,Flood Insurance,Social Proof,Control,autonomy,7
R_ClhUFa5OMLaVs09,4,Flood Insurance,Social Proof,Control,autonomy,7
R_OHc2rtRi95fHO5X,4,Flood Insurance,Social Proof,Control,autonomy,4
R_BWAKJVLmfZ81gaJ,4,Flood Insurance,Social Proof,Control,autonomy,7
R_3OqAXaLTKqMdAY5,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_3kOnrkyNrpGeR1Y,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_2Ubzzjc9ytuAf48,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_ZqUlgvnhsX664Fz,3,Electric Vehicle,Social Proof,Resistibility,autonomy,2
R_1PRcFXrzX6yqgQn,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_10MMkqh7MT7xujW,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_1LAnNEpRgbwzZAZ,3,Electric Vehicle,Social Proof,Resistibility,autonomy,4
R_1lsq4BgtyE9g3r0,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_22PwU1KkgAd7lvj,3,Electric Vehicle,Social Proof,Resistibility,autonomy,4
R_2ceDDLoeNpEw4Ok,3,Electric Vehicle,Social Proof,Resistibility,autonomy,5
R_3RpwuS0BAIU9vwy,3,Electric Vehicle,Social Proof,Resistibility,autonomy,5
R_ezjse6T3s7XJQIh,3,Electric Vehicle,Social Proof,Resistibility,autonomy,5
R_xgYQWYvrJD1PzLH,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_1j9S7mSTrFVFRO4,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_31uVHHNVYPlUZyG,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_26aKd1ljmzqFACk,3,Electric Vehicle,Social Proof,Resistibility,autonomy,4
R_2YeS7FgYp6TUFLK,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_1ePsjv643tukDSr,3,Electric Vehicle,Social Proof,Resistibility,autonomy,2
R_2c7XilHXVVa90Oe,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_w0Q0MMpf9xNkGMp,3,Electric Vehicle,Social Proof,Resistibility,autonomy,4
R_2QYiUha0DX2rJn3,3,Electric Vehicle,Social Proof,Resistibility,autonomy,5
R_56g5lPILAEiOPHH,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_1rMJSVyWlhLEFRH,3,Electric Vehicle,Social Proof,Resistibility,autonomy,5
R_2zdskUGVSbVcIUr,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_1EWmVfNzO40yenG,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_1mFbOvAPN1XFfFG,3,Electric Vehicle,Social Proof,Resistibility,autonomy,6
R_2dtFKUtIXr0Qxpi,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_tDMpnvHTMpXacPD,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_3iKHwxPvzBUTiXw,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_2ykfg0sLQtIpqhv,3,Electric Vehicle,Social Proof,Resistibility,autonomy,7
R_2P7P4RE0c7SYmJb,2,Organ Donation,Social Proof,Choice,autonomy,6
R_1o5yqVzCZtgj6H4,2,Organ Donation,Social Proof,Choice,autonomy,3
R_1mk3kxaqoDm4Ipl,2,Organ Donation,Social Proof,Choice,autonomy,5
R_AvQ3MPJZr12vGXT,2,Organ Donation,Social Proof,Choice,autonomy,3
R_2WSAvpnd6rVQGSo,2,Organ Donation,Social Proof,Choice,autonomy,4
R_1pLEURoqlSWBT0S,2,Organ Donation,Social Proof,Choice,autonomy,5
R_paYQ8L2GbtXi1G1,2,Organ Donation,Social Proof,Choice,autonomy,4
R_1hQZpyg9SAgP7BN,2,Organ Donation,Social Proof,Choice,autonomy,3
R_33qlsjTBHS2WcpJ,2,Organ Donation,Social Proof,Choice,autonomy,4
R_296W2UHX4sDBs0V,2,Organ Donation,Social Proof,Choice,autonomy,4
R_1Iati7r4b74gclr,2,Organ Donation,Social Proof,Choice,autonomy,7
R_1nSXICZCQLOZzEz,2,Organ Donation,Social Proof,Choice,autonomy,6
R_3KUX6MMHsn4GmnR,2,Organ Donation,Social Proof,Choice,autonomy,6
R_rqj9JrdR0QcEoHD,2,Organ Donation,Social Proof,Choice,autonomy,3
R_2dhDQMTiqSnUrLC,2,Organ Donation,Social Proof,Choice,autonomy,7
R_33rnkmlaHYYwsk4,2,Organ Donation,Social Proof,Choice,autonomy,6
R_DcR59GUJLx4lLsR,2,Organ Donation,Social Proof,Choice,autonomy,4
R_zSu03ctocJsHkyt,2,Organ Donation,Social Proof,Choice,autonomy,6
R_1FxqB2P07rn0gwp,2,Organ Donation,Social Proof,Choice,autonomy,6
R_33pbtVyVtgquEwx,2,Organ Donation,Social Proof,Choice,autonomy,5
R_3nA6tzws31egabe,2,Organ Donation,Social Proof,Choice,autonomy,7
R_2TXLKZRia3vdeo7,2,Organ Donation,Social Proof,Choice,autonomy,6
R_22E5MebN5txdRLR,2,Organ Donation,Social Proof,Choice,autonomy,5
R_1lAXf78tfZPitte,2,Organ Donation,Social Proof,Choice,autonomy,5
R_2tmcucIdi6Ds04F,2,Organ Donation,Social Proof,Choice,autonomy,5
R_1hLx59rIXvwFU7G,2,Organ Donation,Social Proof,Choice,autonomy,6
R_28BXypbEKV9AluC,2,Organ Donation,Social Proof,Choice,autonomy,7
R_1TXBNZ1uAALDNmx,2,Organ Donation,Social Proof,Choice,autonomy,1
R_9ow5u3O4tCeUnuN,2,Organ Donation,Social Proof,Choice,autonomy,5
R_3J8EjQzrBpdUJO5,2,Organ Donation,Social Proof,Choice,autonomy,7
R_1ot2u7LDk1suWxt,2,Organ Donation,Social Proof,Choice,autonomy,7
R_3HSMIP1S5RmPnWp,2,Organ Donation,Social Proof,Choice,autonomy,7
R_2v0qd0MzebrGql7,2,Organ Donation,Social Proof,Choice,autonomy,1
R_BJKtBq75EXpTvcl,1,Retirement Savings,Social Proof,Effectiveness,autonomy,4
R_wMBGSJoFIzOYpMd,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_1ouJVYQ7yeQBUdn,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_3KvgGiF8tVodfdB,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_12ioa0l7BB5L2EM,1,Retirement Savings,Social Proof,Effectiveness,autonomy,3
R_1eWf1T9MGa1IQ3Z,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_5bfJv8fdsM0AnId,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_10vpEUuEmhVrMzi,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_1OjzU8VivtYP4zv,1,Retirement Savings,Social Proof,Effectiveness,autonomy,1
R_ZqJo1vz5IU5CLtf,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_1rknRDjnqKjW5wO,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_sNlxlscdTwKakOR,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_1IAieEHlQv0sKlF,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_3Jyr0zgSvbmyXN3,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_1LNZOvsR7YEgDBP,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_3LXBKpsgGsbtDyv,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_1mKp0rbOcWwvYrX,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_3lrU5tIkwomDzKh,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_25A83tYZhDcEdf5,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_szYTNnpma31YJih,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_qOQh7UNPoUnc0k9,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_2afSKZTm3QxLZEP,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_10OPLE8I6zrdtwI,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_vwTPVV6T7WbBkaJ,1,Retirement Savings,Social Proof,Effectiveness,autonomy,5
R_3OcvmohVN4WCAz5,1,Retirement Savings,Social Proof,Effectiveness,autonomy,2
R_3GwXmN2gGfOcFg5,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_1jIYHf46mvizKQy,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_2YfA0sWZihZwYba,1,Retirement Savings,Social Proof,Effectiveness,autonomy,6
R_3jfEe7QzO8opwvm,1,Retirement Savings,Social Proof,Effectiveness,autonomy,7
R_r0Ulwjm2O6KaZSp,5,Flu Shot,Social Proof,Loss Aversion,success,7
R_331Q82a7NP6ZnSJ,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_z74ShAEAZwT7cIx,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_1NqRrPTK4NBB0CE,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_1QflQWDGKo8Gl4T,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_2dSb1Nbp2vMbaDQ,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_sgP0qp7fmALYkPT,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_2zp4Olpn08NG3se,5,Flu Shot,Social Proof,Loss Aversion,success,3
R_2ASeqGjkUsOEYK9,5,Flu Shot,Social Proof,Loss Aversion,success,5
R_3O2LLQuI7Hyc7Au,5,Flu Shot,Social Proof,Loss Aversion,success,5
R_XB5If00YHEbCGzf,5,Flu Shot,Social Proof,Loss Aversion,success,5
R_3gR8yFZMbnCWyAE,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_3k1A2aQwSvoaAcc,5,Flu Shot,Social Proof,Loss Aversion,success,7
R_1FCUn1Mmop7uVAT,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_22rww56N9QNV2Gk,5,Flu Shot,Social Proof,Loss Aversion,success,3
R_3qvu64ntOrlkTyK,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_3m3vehvBwE3y1hu,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_3KxflPAFCthwJo5,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_3De9rV5JdnvEoyU,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_6F3KoVWQUwKNnrP,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_2TSjykpn84GEVtz,5,Flu Shot,Social Proof,Loss Aversion,success,3
R_1NeroelYUKjU8lb,5,Flu Shot,Social Proof,Loss Aversion,success,5
R_3EhGT2xXtm4BWtc,5,Flu Shot,Social Proof,Loss Aversion,success,6
R_1l0uutWgGsAOhgB,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_O0B2n5Mpk26fk41,5,Flu Shot,Social Proof,Loss Aversion,success,7
R_1prswasmpDqFVi9,5,Flu Shot,Social Proof,Loss Aversion,success,5
R_1CqGTozF82DpwoR,5,Flu Shot,Social Proof,Loss Aversion,success,3
R_1LbbB7XHilhiBAE,5,Flu Shot,Social Proof,Loss Aversion,success,7
R_pmDzeJUoWZccHmN,5,Flu Shot,Social Proof,Loss Aversion,success,4
R_1jjnty7EJa9uCw1,4,Flood Insurance,Social Proof,Control,success,5
R_vcwOtPhiSuhcQKd,4,Flood Insurance,Social Proof,Control,success,2
R_3QWRNcOj7uJNxPy,4,Flood Insurance,Social Proof,Control,success,6
R_Un1uXQDmG7vBQ9b,4,Flood Insurance,Social Proof,Control,success,3
R_1JDtS4xCPDGyGTQ,4,Flood Insurance,Social Proof,Control,success,2
R_2RQAPPqUYDxYDCr,4,Flood Insurance,Social Proof,Control,success,6
R_1hFpNRWd0Zfgu6E,4,Flood Insurance,Social Proof,Control,success,3
R_x6gZCLvxa78Wg5H,4,Flood Insurance,Social Proof,Control,success,7
R_3KuZ8b46F2eCM7p,4,Flood Insurance,Social Proof,Control,success,6
R_VOKieCQNkoNYudz,4,Flood Insurance,Social Proof,Control,success,7
R_33g4PNIlrlvdlTa,4,Flood Insurance,Social Proof,Control,success,4
R_1lmdfbCH1KC9A92,4,Flood Insurance,Social Proof,Control,success,5
R_0GOyAlDVp19aNMJ,4,Flood Insurance,Social Proof,Control,success,6
R_2TRELeAw1mzG6qR,4,Flood Insurance,Social Proof,Control,success,5
R_xzsLctDt2xmjrqh,4,Flood Insurance,Social Proof,Control,success,4
R_21FhZEWERWOQAdC,4,Flood Insurance,Social Proof,Control,success,5
R_qJikmwNsHQyjFJv,4,Flood Insurance,Social Proof,Control,success,5
R_XNDHMBpA1Vxu5O1,4,Flood Insurance,Social Proof,Control,success,3
R_snzw6m4Rk7amPtf,4,Flood Insurance,Social Proof,Control,success,5
R_3QPOQpHul1I7EJS,4,Flood Insurance,Social Proof,Control,success,4
R_3ikgqC5NgxH6S5I,4,Flood Insurance,Social Proof,Control,success,6
R_3iPYdOiGPkB8HIr,4,Flood Insurance,Social Proof,Control,success,3
R_2E4xg7ZBAVbVdnc,4,Flood Insurance,Social Proof,Control,success,6
R_3gMosbRvwy87WJL,4,Flood Insurance,Social Proof,Control,success,7
R_2RPzaR4RVmBP96c,4,Flood Insurance,Social Proof,Control,success,4
R_ClhUFa5OMLaVs09,4,Flood Insurance,Social Proof,Control,success,7
R_OHc2rtRi95fHO5X,4,Flood Insurance,Social Proof,Control,success,5
R_BWAKJVLmfZ81gaJ,4,Flood Insurance,Social Proof,Control,success,6
R_3OqAXaLTKqMdAY5,3,Electric Vehicle,Social Proof,Resistibility,success,2
R_3kOnrkyNrpGeR1Y,3,Electric Vehicle,Social Proof,Resistibility,success,2
R_2Ubzzjc9ytuAf48,3,Electric Vehicle,Social Proof,Resistibility,success,3
R_ZqUlgvnhsX664Fz,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_1PRcFXrzX6yqgQn,3,Electric Vehicle,Social Proof,Resistibility,success,3
R_10MMkqh7MT7xujW,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_1LAnNEpRgbwzZAZ,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_1lsq4BgtyE9g3r0,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_22PwU1KkgAd7lvj,3,Electric Vehicle,Social Proof,Resistibility,success,5
R_2ceDDLoeNpEw4Ok,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_3RpwuS0BAIU9vwy,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_ezjse6T3s7XJQIh,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_xgYQWYvrJD1PzLH,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_1j9S7mSTrFVFRO4,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_31uVHHNVYPlUZyG,3,Electric Vehicle,Social Proof,Resistibility,success,3
R_26aKd1ljmzqFACk,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_2YeS7FgYp6TUFLK,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_1ePsjv643tukDSr,3,Electric Vehicle,Social Proof,Resistibility,success,3
R_2c7XilHXVVa90Oe,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_w0Q0MMpf9xNkGMp,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_2QYiUha0DX2rJn3,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_56g5lPILAEiOPHH,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_1rMJSVyWlhLEFRH,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_2zdskUGVSbVcIUr,3,Electric Vehicle,Social Proof,Resistibility,success,4
R_1EWmVfNzO40yenG,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_1mFbOvAPN1XFfFG,3,Electric Vehicle,Social Proof,Resistibility,success,6
R_2dtFKUtIXr0Qxpi,3,Electric Vehicle,Social Proof,Resistibility,success,3
R_tDMpnvHTMpXacPD,3,Electric Vehicle,Social Proof,Resistibility,success,5
R_3iKHwxPvzBUTiXw,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_2ykfg0sLQtIpqhv,3,Electric Vehicle,Social Proof,Resistibility,success,7
R_2P7P4RE0c7SYmJb,2,Organ Donation,Social Proof,Choice,success,5
R_1o5yqVzCZtgj6H4,2,Organ Donation,Social Proof,Choice,success,5
R_1mk3kxaqoDm4Ipl,2,Organ Donation,Social Proof,Choice,success,6
R_AvQ3MPJZr12vGXT,2,Organ Donation,Social Proof,Choice,success,5
R_2WSAvpnd6rVQGSo,2,Organ Donation,Social Proof,Choice,success,4
R_1pLEURoqlSWBT0S,2,Organ Donation,Social Proof,Choice,success,6
R_paYQ8L2GbtXi1G1,2,Organ Donation,Social Proof,Choice,success,4
R_1hQZpyg9SAgP7BN,2,Organ Donation,Social Proof,Choice,success,5
R_33qlsjTBHS2WcpJ,2,Organ Donation,Social Proof,Choice,success,5
R_296W2UHX4sDBs0V,2,Organ Donation,Social Proof,Choice,success,6
R_1Iati7r4b74gclr,2,Organ Donation,Social Proof,Choice,success,5
R_1nSXICZCQLOZzEz,2,Organ Donation,Social Proof,Choice,success,5
R_3KUX6MMHsn4GmnR,2,Organ Donation,Social Proof,Choice,success,6
R_rqj9JrdR0QcEoHD,2,Organ Donation,Social Proof,Choice,success,2
R_2dhDQMTiqSnUrLC,2,Organ Donation,Social Proof,Choice,success,7
R_33rnkmlaHYYwsk4,2,Organ Donation,Social Proof,Choice,success,2
R_DcR59GUJLx4lLsR,2,Organ Donation,Social Proof,Choice,success,6
